job_title;company;location;salary;company_rating;description;posting_date;url_info
Lead Data Analyst and MIS;DBS Bank;Indonesia;NaN;3.9;"Group Technology and Operations drives the DBS’ digital transformation agenda to allow us to scale new heights and reimagine the future of banking. To thrive in the age of digital disruptions, we focus on innovative ways to scale our cloud-based technologies, utilise modern frameworks and deploy automation best-practices.
We’ve also built a data-driven culture to develop clear guardrails on data governance and make data more accessible securely. Looking further into the technology horizon, we are exploring key merging technologies such as 5G, Internet of things (IoT), blockchain, quantum computing and AR/VR that will able us drive better business outcomes and customer journey.
Responsibilities:
Handle data initiatives relating to data stewards for control and governance, acting as data SME for the whole DBSI T&O Unit.
Design and build control tower framework, analytics, general hypothesis testing and all related initiatives with data to handle operation’s data strategies.
Work closely with stakeholders within regional data and local IT team to deliver data ingestion initiatives from use cases for Data Mart (ADA Lite) implementation.
Conduct general analytics to identify areas of improvement for T&O wide and deliver actionable insights for stakeholders and involve in the overall implementation and improvement.
Communicate strategic recommendations for operation based on insights coming from data and operationalize the process of analytics to each unit.
Perform strategic T&O initiatives to achieve Demand Management agenda, Digital adoption agenda, using Agile method, good governance of project management and manage the implementation
Perform continuous process improvements whenever its applicable during project run and ensure work-around is establish as well
Involve in Innovation agendas that delivers growth for DBSI T&O and Business through ideation methodology, from proposition, prototyping and delivery.
Ensure project delivery within budget, timeline and quality standard to support T&O and the bank achieving their objective and goals
Assess risk and control deficiencies or other scope in addition to give value on the initiative and conform for with all applicable policies, standards, SOP and regulations
Requirements:
Minimum 3-4 years of relevant experience as a Data Analyst, Business Intelligence, or Data Science fields related.
Have an experience with Data Visualization Tools (Tableau, Power BI, etc.). Tableau specifically is a plus
Possess knowledge in data mining / data processing tool such as SQL, SAS, Python or R. Any Advance knowledge in one of the tools given is highly preferable.
Exposure to project management, process improvement, and information systems management
Have an analytical mind and business acumen with the ability to work with data to discover patterns and trends and form conclusion and solutions based on its findings
Good knowledge in corporate and retail banking business and operational process
Good knowledge in banking risk management
Proactive personality with “can do” spirit
Highly motivated to bring innovative solution to the team
Primary Location: Indonesia
Job: Analytics
Schedule: Regular
Employee Status:
 Full-time
:
Job Posting: Jul 26, 2021, 6:27:07 AM";Posted30+ hari yang lalu;https://id.indeed.com/rc/clk?jk=1221ca8b5df252c1&fccid=cc1f9ea511d140fe&vjs=3
Data Research Analyst;CIO Network Pte Ltd;Jakarta•Jarak Jauh;NaN;NA;Dat Research AnalystOpenGov Asia is looking for an experienced and dynamic research analyst professional, who can deliver measurable success. Our ideal candidate is highly motivated, an excellent communicator, can work well within a cooperative and friendly team as well as being able to work on their own initiative.The primary focus of the candidate is to be responsible for researching, analysing, interpreting, and presenting data related to markets, operations, finance/accounting, economics, customers, and other information related to the field they work in.A research analyst is typically very quantitative, analytical, logical, and good at managing numbers and data. This guide will break down the main aspects of being an analyst in different industries, with a focus on the finance industry.The successful candidate must first be able to show a proven track record. Secondly, show they have the initiative to impact positive change to add value to our business.Key Responsibilities: Research, Analyse, interpret and present current and past results and perform variance analysisIdentify trends and make recommendations for improvementsProvide analysis of trends and forecasts and recommend actions for optimizationIdentify and drive process improvements, including the creation of standard and ad-hoc reportsUse Excel functions to organize and analyse dataCreate charts, graphs, and presentations for leadership teamsDevelop recommendations to improve business operations going forwardExpected Start Date: 04/10/2021Expected Start Date: 05/10/2021Job Type: PermanentSalary: Rp1,208,646 - Rp10,225,918 per monthCOVID-19 considerations:Work from the safety of your homeWork Remotely:Yes;Posted30+ hari yang lalu;https://id.indeed.com/company/CIO-Network-Pte-Ltd/jobs/Data-Research-Analyst-747ff236e9e120b5?fccid=05771502f768e74e&vjs=3
Center of Excellence (Data Analyst);Kargo Technologies;Jakarta;NaN;NA;"Compile data sets

Analyze data sets

Clean data sets

Create dashboards

Weekly reports

Monthly reports
Min. Bachelor's degree from reputable university

Less than 1 month notice period

Advanced Ms. Office (Excel, Word, PowerPoint, etc.)

Spreadsheets skills

Presentation skills

Tech-savvy

Agile

Detail oriented

Fluent in English is a plus";Posted10 hari yang lalu;https://id.indeed.com/rc/clk?jk=3a8a5fe3d313b472&fccid=3421b985e600d4d9&vjs=3
Data Analyst;Green Park Content;Indonesia;NaN;NA;"Green Park Content is an award-winning global agency with offices in London, Jakarta, Singapore, New York and Sao Paulo.
We specialise in digital content that connects with your audience, at the right time, in the right way. We bring data-driven insight and expertise in ‘always on’ SEO content to inform exceptional creative execution that can be measured, forecasted and drives results.
Our clients include Unilever, PepsiCo, N26, Danone, Campari and many more.
We’re looking for Data Analyst to join our team. This role is heavily involved in producing actionable insights from digital data sources, especially Search related data, to deliver performance improvements for clients. The right candidate will have great attention to detail to deliver accurate and timely insights.
Responsibilities:
Gather, analyse, and interpret industries and content performance.
Create briefings by drafting, receiving feedback and finalizing the analysis.
Create and Present measurement strategies.
Create PowerPoint slides and Excel Sheets by collecting input from relevant stakeholders and analyst the insight.
Present briefing to internal team and Client.
Assist with other duties, projects, or manager requests as assigned.
Requirements:
Aptitude for math & statistics, with strong investigative and problem-solving skills to arrive to a good decision
Strong time-management and project management skills
Good communication
Experience in stakeholder management
Self-motivated and result-oriented
Experience working for an online-based company or in the digital space
Experience using Google Analytics
Experience using analytics software
A strong command of the local language and English (verbal and written) is a must.
Our Team
We are the tech and talk operating at the core of content marketing, digital strategy, and technological expertise. Our dedicated team of content and SEO experts, editors, journalists, designers, photographers and videographers are with clients every step of the way when it comes to ensuring that their brands connect with the right audience.
Our results-oriented team helps clients to foster growth and thrive in the global digital landscape, through data discovery, editorial planning, sharp content, and innovative distribution—all underpinned by our SEO methodology.";Posted30+ hari yang lalu;https://id.indeed.com/rc/clk?jk=9ce849de823e1d94&fccid=ff0f8c57749d1b90&vjs=3
Data Analyst;Schoters;Jakarta;NaN;NA;"Provide periodic insight and report to support other teams.

Create dashboard to monitor each teams' KPI.

Make sure the data collected is in the right format and easy to process.

Set up automatic data collection system to minimize human error
Basic statistics ability.

Understands Relational Database and Query.

Proficiency in SQL and Data Visualization Tools, Knowledge in Python is a plus.

Strong leadership and communication skills.

Innovative and able to work in a team well.

Good analytical & problem solving skills";Posted16 hari yang lalu;https://id.indeed.com/rc/clk?jk=64a220a89c26d77d&fccid=ad3dc85c57585be2&vjs=3
Regional Business Analyst;Tokopedia;Indonesia;NaN;4.1;"Job Descriptions:
Analyze Tokopedia data and provide data driven recommendation and insightsCreate presentation deck for higher management for reporting or analysis purposeMonitor category/campaign performance and provide feedback based on findingsActively contribute to improve current reporting standardizationCoordinate with related stakeholders on data request, ensuring timely and quality execution
Requirements:Experienced 1-3 years in Business/Campaign AnalystExcellent proficiency in ExcelFluent in english";Posted10 hari yang lalu;https://id.indeed.com/rc/clk?jk=e4a5a143c39a648d&fccid=7c5d77a106174509&vjs=3
Junior Pricing Analyst (Data Administrator);Vonage;Jakarta;NaN;NA;"Vonage Mission
Vonage is the emerging leader in the $100B+ cloud communications platform (CPaaS) market. Customers like Airbnb, Viber, Whatsapp, Snapchat, and many others depend on our APIs and SDKs to connect with their customers all over the world. As businesses continue to shift to a real-time, customer-centric communications model, we are experiencing a time of impressive growth.

Why this role matters

As a Junior Pricing Analyst, you will be responsible for implementing and maintaining our pricing for longtail and managed customers within the company's pricing systems. The candidate will also work closely with our SOX Compliance Manager to ensure all pricing activities are managed in a compliant way.

IF THIS SOUNDS LIKE YOU, CONTINUE READING BELOW...

What you'll do
Upload prices into various internal systems for all customers
Implement updates to our default pricing for both products and features
Maintain, adjust and correct pricing in the system as required
Develop expert level knowledge in our processes, and ensure the process has been followed before implementing pricing changes
Explain pricing processes to other teams when queried
Manage customer account information including billing and pricing information
Perform daily pricing checks to ensure rates are correctly uploaded and compliant
Collaborate with the Pricing Managers to gather data for analysis and reporting
Work closely with our internal and external auditors, to provide any information around price changes as required
 What is required for this role
Degree educated. Bachelor's degree
Process oriented and adaptable. Methodical and meticulous with excellent attention to detail
Knowledgeable about basic data analysis and curious to learn more
Delivery focused
Numerate and literate, with advanced excel skills. You enjoy investigating small data sets and finding inconsistencies.
Comfortable in a fast pace, global & multicultural environment
Logical thinker, able to work autonomously and use initiative
Fluent in English
What you'll bring
Experience in Finance departments
Experience with Business Intelligence
What's in it for you

In addition to providing exciting work, career advancement opportunities, and a collaborative work environment, Vonage provides competitive pay and benefits including unlimited discretionary time off and tuition reimbursement.

Note: The purpose of this profile is to provide a general summary of essential responsibilities for the position and is not meant as an exhaustive list. Assignments may differ for individuals within the same role based on business conditions, departmental need or geographic location.

#LI-SL1#LI-REMOTE";Posted8 hari yang lalu;https://id.indeed.com/rc/clk?jk=9e02c906e34c40f9&fccid=9ae5a27119edd141&vjs=3
System Analyst;vascomm;Sidoarjo;NaN;NA;"Company Overview
""Vascommers"" aim to deliver BRIGHT solution for your business. We have established partnerships with telecommunication companies and banks to build and develop branchless banking systems, server-based e-money systems, and internal information systems. We enhance the experience of many business lines who need to grow and spread their market area towards many cities in Indonesia. Vascomm also working in the field of Internet of Things (IoT) to develop future technology like smart homes/offices and smart cities. At Vascomm, we believe that everything can be enhanced.
In delivering the best service and product to our client we need to breakdown the system and identify each element for the system. In order to do this job we need system analyst. System analyst analyses how well software, hardware, and the wider IT system fit the business needs of the user or of a client. They write requirements for new systems and may also help implement them and monitor their effectiveness.
Employee Benefits
8 Hours flexible Working Time
Fun working place
Support and Clear Supervision
Competitive Salary
Overtime and Business Trip fees
Health Insurance Program
Project commission
Bonus Based Program
Employee Training and Development
Career Path
Responsibilities
Responsible for doing technical and business documentation analyst include rules of data mapping, description, and parameterization of products
Delegating the task to the programmer, and performing the work progress monitoring
Validate result by supporting the process of functional and acceptance tests, as well as application test
Provides reference by writing technical documentation
Develops solution by preparing and evaluating alternative workflow solutions
Details
ENTRY-MIDDLE LEVEL
SIDOARJO-REMOTE WORKING, INDONESIA
Requirement
Bachelor degree from computer engineering or information system
Have 2 years experience in the same field (System Analyst)
Understand the ins and outs of the software development life-cycle
Great ability using technical diagram design software like UML, database design, data flow design
Solid knowledge with software development operational, user acceptance testing, and project management
Have a background as Developer (preferably)
Good communication skills";Posted30+ hari yang lalu;https://id.indeed.com/rc/clk?jk=7a75da8606dcc74e&fccid=3a62735b006e9ed1&vjs=3
Modern Trade Data Analyst;Bayer;Jakarta;NaN;4.1;"Modern Trade Data AnalystYOUR TASK & RESPONSIBILITIES
Process Minimarket Data and Modern Pharma , analyze to maximize sales.
Develop Modern Trade Database and collecting and maintain updated.
Collaborate with Customer Marketing to align with data needed related to Modern Trade .
Align and coordinate with APL team for support data needed on sales and claims.
Screening all incoming claims from Distributor , verify and ensure its mandatory requirements before next process approval KAM to payment.
Analyze the results of Modern Trade activities and share to KAM
Develop Database and reporting result analysis of Minimarket and Modern Pharma .
Develop and produce report analysis of spending in MT Plan vs Actualand balance to go ( Trading Term and OTB )
Tracking competitor's promotion activities, collect , compile and report analysis.
Produce report and analysis of investment effectiveness.
Produce Report of MTI Productivity and progress update sales and numeric distribution by weekly.
WHO YOU ARE
Preferable as bachelor degree in Management and Busines administration
Having experience in 2 years in Sales analysis Modern Trade
Strong communication in English and Presentation skill
Strong Data analysis skillApplication Period: 29/11/2021 Reference Code: 511061
Division: Consumer Health Location: Indonesia : DKI Jakarta Jakarta : Jakarta
Functional Area: Commercial & Sales Position Grade: R11
Employment Type: Temporary Work Work Time: Flexi Hours (8 working hours)Contact Us
Address Telephone E-Mail
PT Bayer Indonesia
Menara Astra, 33rd floor
Jl. Jend. Sudirman Kav.5-6, Jakarta 10220, Indonesia
+622130491111
 recruitment.indonesia@bayer.com";Posted4 hari yang lalu;https://id.indeed.com/rc/clk?jk=17a174c90a44a2b9&fccid=e08122e0e993cc32&vjs=3
People Operation Analyst-Indonesia-People-Operations;Lazada;Indonesia;NaN;3.9;"Location:
Indonesia
Department: Human Resources
Location: Indonesia
Job Description
Manage and deliver the end-to-end life cycle of employee such as onboarding / offboarding formalities and staff movements such as internal transfersBe the go-to person in the Business Unit for employee’s and Line Manager’s HR operational needsAchieve HR operational excellence through the support of the rest of the HR Shared Services team based in main office
Working closely with the overall HR team to achieve the targeted goalsProvide support in management guidelines by preparing, updating and recommending HR policies and procedures for the Indonesia operationsFormulation, creation and implementation of templates for process and workflow management and improvementManage and assist with functional requirements gathering, development, testing, implementation and support of various HR effective projects/processesUndertake HR country harmonization project-based work in the areas of recruitment & onboarding, transfer, payroll, performance management, HRIS, equity administration and offboardingFrontliner in asnwering employees quereis, via ticketing system or emailJob Requirements
High potential Fresh Graduates of Bachelor Degree from any major are welcome to apply. Accounting, Information System and Science (MIPA) Major is preferredAble to work with abundant of data and administrationAble to manage HR projects independently and to leverage contributions of other team members to accomplish projectsAble to work with high integrity and fast-paced work environmentProven resilient, structured and organizedCapacity to analyze business processes holistically and assess impact on changes to processIntermediate Microsoft Office (Excel & Power Point) skill is a mustStrong communication, analytical and planning skillExcellent problem-solving skill";Posted30+ hari yang lalu;https://id.indeed.com/rc/clk?jk=fdccb6cc47689108&fccid=b51a5102a67e0022&vjs=3
